HD 28185 c,12.1,1.03,0.016
HD 28192 b,12.2,1.07,0.103
HD 28254 b,13.7,1.48,0.34
HD 285507 b,13.8,0.69,-0.719
HD 285968 b,2.83,0.48,-1.658
HD 28678 b,13.5,6.48,1.36
HD 29021 b,12.9,0.85,-0.181
HD 290327 b,13.3,0.95,-0.14
HD 29399 b,13.5,4.5,1.002
HD 2952 b,13.6,10.76,1.85
HD 29985 b,12.8,0.57,-0.846
HD 30177 b,12.6,1.02,0.083
HD 30177 c,12.7,1.18,0.084
HD 30562 b,13.6,1.61,0.45
HD 30669 b,14.3,0.91,-0.146
HD 30856 b,13.5,4.4,0.996
HD 31253 b,14.1,1.75,0.517
HD 31527 b,3.22,1.07,0.079
HD 31527 c,3.85,1.07,0.079
HD 31527 d,3.46,1.07,0.079
HD 3167 d,1.92,0.88,-0.27
HD 3167 e,2.83,0.88,-0.27
HD 32518 b,13.1,10.22,1.666
HD 32963 b,13.4,1.11,0.064
HD 330075 b,14.3,0.84,-0.33
HD 331093 b,13.6,1.11,0.006
HD 33142 b,13.7,4.17,1
HD 33142 c,13.9,4.17,1
HD 33142 d,9.32,4.17,1
HD 33283 b,12.5,1.97,0.64
HD 33564 b,12.5,1.44,0.535
HD 33844 b,13.4,5.39,1.149
HD 33844 c,13.5,5.29,1.149
HD 34445 b,13.9,1.38,0.303
HD 34445 c,8.42,1.38,0.303
HD 34445 d,6.07,1.38,0.303
HD 34445 e,4.26,1.38,0.303
HD 34445 f,6.88,1.38,0.303
HD 34445 g,13.6,1.38,0.303
HD 35759 b,13,1.76,0.537
HD 360 b,14,10.86,1.742
HD 3651 b,10.1,0.87,-0.274
HD 37124 b,14,0.95,-0.112
HD 37124 c,14.1,0.95,-0.112
HD 37124 d,14,0.95,-0.112
HD 37605 b,13.2,0.91,-0.22
HD 37605 c,13.1,0.91,-0.22
HD 3765 b,8.56,0.83,-0.416
HD 38283 b,14,1.49,0.411
HD 38529 b,14.1,2.86,0.834
HD 38529 c,12.5,2.86,0.834
HD 38801 b,12.5,2.03,0.659
HD 39091 b,12.4,1.19,0.16
HD 39194 b,1.83,0.78,-0.409
HD 39194 c,2.39,0.78,-0.409
HD 39194 d,1.83,0.78,-0.409
HD 39855 b,2.85,0.74,-0.316
HD 40307 b,1.83,0.72,-0.639
HD 40307 c,2.46,0.72,-0.639
HD 40307 d,3.04,0.72,-0.639
