HD 93083 b,13.4,0.85
HD 93351 b,1.69,0.91
HD 93351 c,12.3,0.91
HD 93385 b,1.88,1.18
HD 93385 c,2.56,1.18
HD 93385 d,2.89,1.18
HD 9446 b,14,1
HD 9446 c,13.4,1
HD 94771 b,14.2,1.9
HD 94834 b,13.7,4.2
HD 95089 b,13.7,5.08
HD 95089 c,13.1,5.08
HD 95127 b,12.4,41.01
HD 95338 b,3.89,0.87
HD 95544 b,12.8,1.09
HD 95735 c,3.76,0.37
HD 95872 b,13,0.84
HD 96063 b,13.7,4.75
HD 96127 b,12.1,51.1
HD 96167 b,14,1.94
HD 96700 b,2.93,1.16
HD 96700 c,1.69,1.16
HD 96700 d,3.61,1.16
HD 96992 b,13.7,7.43
HD 97037 b,12.1,1.26
HD 97658 b,2.12,0.73
HD 98219 b,13.4,4.6
HD 98649 b,12.6,1.01
HD 98736 b,13.3,0.93
HD 99109 b,14.3,0.98
HD 99283 b,13.8,11.21
HD 99492 b,5.02,0.83
HD 99706 b,13.7,5.52
HD 99706 c,12.8,5.4
HIP 105854 b,12.6,10.31
HIP 107772 b,3.64,0.51
HIP 107773 b,13.4,11.6
HIP 109384 b,13.5,0.83
HIP 109600 b,13.2,0.97
HIP 114933 b,13.4,5.27
HIP 12961 b,13.2,0.65
HIP 14810 b,13,1.07
HIP 14810 c,13.6,1.07
HIP 14810 d,14.1,1.07
HIP 19976 b,4.94,0.77
HIP 19976 c,11.9,0.77
HIP 34222 b,13.9,0.62
